Transaction ID,User ID,Transaction Date,Transaction Time,Product ID,Product Price,Quantity,Discount Applied,Payment Method,User Age,User Gender,User Location,User Membership Status,Device Used,Referral Source,Transaction Status,User Tenure,Product Category,Amount
1,4047,2023-11-26,14:18:07,1029,125.7,1,5,Credit Card,30,Female,Athens,Regular,Desktop,Social Media,Completed,42,Clothing,125.7
2,4430,2023-11-25,06:44:25,1050,80.1,2,5,PayPal,25,Male,Athens,Premium,Desktop,Social Media,Completed,16,Electronics,160.2
3,3759,2023-09-16,20:43:25,1095,81.4,2,5,Credit Card,42,Male,Patras,Premium,Mobile,Social Media,Completed,12,Books,162.8
4,1598,2023-12-21,09:11:03,1000,89.45,2,5,PayPal,39,Female,Thessaloniki,Regular,Mobile,Social Media,Completed,32,Clothing,178.9
5,6531,2023-01-23,16:22:27,1019,147.9,3,0,Credit Card,39,Male,Athens,Premium,Desktop,Social Media,Completed,1,Books,443.70000000000005
6,20355,2023-12-03,23:25:21,1026,134.5,2,20,Credit Card,35,Male,Athens,Premium,Mobile,Social Media,Completed,16,Home & Kitchen,269.0
7,8579,2023-02-22,19:23:47,1022,109.3,2,5,Credit Card,27,Male,Athens,Regular,Mobile,Organic,Completed,20,Clothing,218.6
8,4114,2023-09-20,07:07:43,1037,129.3,2,5,Credit Card,36,Female,Athens,Regular,Mobile,Referral,Completed,54,Books,258.6
9,9775,2023-12-03,10:55:26,1002,135.9,2,15,Credit Card,35,Male,Athens,Regular,Desktop,Social Media,Completed,11,Electronics,271.8
10,4903,2023-12-24,06:49:57,1096,71.5,2,5,Credit Card,29,Male,Athens,Regular,Mobile,Social Media,Completed,54,Clothing,143.0
11,21437,2023-09-12,13:45:45,1014,93.4,2,10,Credit Card,37,Male,Patras,Regular,Mobile,Social Media,Completed,37,Books,186.8
12,15098,2023-09-11,20:21:39,1007,88.3,2,5,Credit Card,28,Male,Athens,Regular,Desktop,Social Media,Completed,30,Sports,176.6
13,10008,2023-01-23,13:07:27,1084,109.6,2,25,Credit Card,40,Female,Athens,Premium,Desktop,Referral,Completed,23,Electronics,219.2
14,18127,2023-12-13,05:27:47,1091,135.49,2,5,Credit Card,32,Female,Patras,Regular,Desktop,Referral,Completed,36,Clothing,270.98
15,3082,2023-07-18,20:58:00,1003,146.7,2,5,Credit Card,40,Female,Athens,Premium,Mobile,Social Media,Pending,20,Home & Kitchen,293.4
16,23913,2023-09-29,07:10:35,1091,107.0,2,5,Debit Card,37,Female,Athens,Regular,Desktop,Organic,Completed,48,Home & Kitchen,214.0
17,20804,2023-08-28,04:08:31,1019,99.69,2,30,PayPal,29,Female,Chalkida,Premium,Mobile,Social Media,Completed,23,Home & Kitchen,199.38
18,15091,2023-12-18,12:32:15,1064,121.9,2,25,PayPal,40,Male,Athens,Premium,Desktop,Social Media,Completed,37,Home & Kitchen,243.8
19,25716,2023-04-21,00:32:17,1084,143.8,2,5,PayPal,40,Male,Athens,Regular,Desktop,Social Media,Completed,33,Electronics,287.6
20,25097,2023-01-24,02:47:06,1077,55.09,4,30,Credit Card,36,Male,Thessaloniki,Premium,Mobile,Social Media,Completed,31,Books,220.36
21,16280,2023-08-29,06:41:40,1057,96.89,3,5,PayPal,32,Male,Chalkida,Regular,Mobile,Social Media,Completed,53,Clothing,290.67
22,15754,2023-08-08,23:38:38,1010,96.05,4,15,Credit Card,34,Male,Heraklion,Regular,Desktop,Social Media,Completed,18,Sports,384.2
23,1690,2023-01-29,17:09:45,1023,150.2,2,0,Debit Card,31,Male,Athens,Regular,Mobile,Organic,Completed,48,Books,300.4
24,3961,2023-02-02,02:00:10,1054,78.1,2,5,Credit Card,32,Male,Thessaloniki,Regular,Mobile,Organic,Completed,16,Sports,156.2
